id	songName	storeID	author	levelToUnlock	price	Song Loop	VersionMid	VersionMp3	MidFile	Mp3File	speedBegin	speedIncreaseAfterOneLoop	SongTrackClip	SongTrackSpeed	beginDistanceBySecond	AddStartDistance	typeSong	Category
1	Let It Go Sing	firstsnow		1	0	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/firstsnow.mid	https://elsapiano.s3.us-east-2.amazonaws.com/config/music/FROZEN+_+Let+It+Go+Sing.mp3	1	0.25	0;35.0;70	1;1.05263158;1.111111111111	1650	1000	HOT	1
2	Show Yourself	thebeautifuldanube	Johann Strauss II	-1	10	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/thebeautifuldanube.mid	https://elsapiano.s3.us-east-2.amazonaws.com/config/music/Idina+Menzel+Show+Yourself.mp3	1	0.25	0;35.0;70.0	1;1.0204081633;1.0416666667	1400	1000	NORMAL	1
3	All Is Found Violin	loveandinspiration		3	0	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/loveandinspiration.mid	https://elsapiano.s3.us-east-2.amazonaws.com/config/music/All+Is+Found+Violin.mp3	1	0.25	0;40.0;80.0	1;1.0204081633;1.0416666667	1900	1000	NORMAL	1
4	Carmen Sarahí Leslie	romantic3	Smart Sounds	-1	10	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/romantic3.mid	https://elsapiano.s3.us-east-2.amazonaws.com/config/music/Carmen+Sarahi%CC%81+Leslie.mp3	1	0.25	0;43.4;69.5	1;1.0204081633;1.0416666667	1140	1000	NORMAL	1
5	Do You Want to Build a Snowman	thebeautifuldanube	Johann Strauss II	-1	10	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/thebeautifuldanube.mid	https://elsapiano.s3.us-east-2.amazonaws.com/config/music/Do+You+Want+to+Build+a+Snowman.mp3	1	0.25	0;35.0;70.0	1;1.0204081633;1.0416666667	1400	1000	NORMAL	1
6	Evan Rachel Wood All Is Found	christmasukulele		-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/christmasukulele.mid	https://elsapiano.s3.us-east-2.amazonaws.com/config/music/Evan+Rachel+Wood++All+Is+Found.mp3	1	0.25	0;30.0;60	1;1.0204081633;1.0416666667	1500	1000	NEW	1
7	For the First Time in Forever	timetogrow		4	0	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/timetogrow.mid	https://elsapiano.s3.us-east-2.amazonaws.com/config/music/For+the+First+Time+in+Forever.mp3	1	0.25	0;40.0;80	1;1.0204081633;1.0416666667	1400	1000	NORMAL	1
8	AURORA	rainofsakura		5	0	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/rainofsakura.mid	https://elsapiano.s3.us-east-2.amazonaws.com/config/music/Idina+Menzel%2C+AURORA+-+Into+the+Unknown+(mp3cut.net).mp3	1	0.25	0;40.0;80.0	1;1.0204081633;1.0416666667	1800	1000	NORMAL	1
9	Some Things Never Change	weddingpiano		6	0	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/weddingpiano.mid	https://elsapiano.s3.us-east-2.amazonaws.com/config/music/Some+Things+Never+Change.mp3	1	0.25	0;40.0;80.0	1;1.0204081633;1.0416666667	1500	1500	NORMAL	1
10	Let It Go Guitar	emotionalorchestra	Best Audio	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/emotionalorchestra.mid	https://elsapiano.s3.us-east-2.amazonaws.com/config/music/Let+It+Go+Guitar.mp3	1	0.25	0;45.11;75.6	1;1.0204081633;1.0416666667	1700	1000	NEW	3
